Fiat;
model;cena
124 Spider;117000
500;46700
500C;59700
500L;57900
500X;67000
Doblo;79300
Doblo Cargo;55473
Ducato;93234
Fiorino Cargo;36888
Fullback;131610
Panda;40100
Panda Cross;55100
Panda Van;41820
Punto;4300
Qubo;50300
Talento;102582
Tipo;48100
